state,count
Delhi,100
Haryana,66
Mizoram,42
Chandigarh,30
Puducherry,30
Karnataka,29
Maharashtra,26
Daman and Diu,26
Telangana,25
Goa,25
Punjab,24
Tamil Nadu,24
Uttar Pradesh,23
Kerala,21
Gujarat,18
Manipur,17
Nagaland,16
Andaman and Nicobar Islands,16
Uttarakhand,15
Andhra Pradesh,14
West Bengal,13
Rajasthan,12
Jammu and Kashmir,11
Odisha,11
Jharkhand,11
Tripura,11
Chhattisgarh,10
Assam,10
Himachal Pradesh,10
Arunachal Pradesh,10
Sikkim,10
Madhya Pradesh,9
Dadra And Nagar Haveli And Daman And Diu,8
Meghalaya,8
Bihar,7
